;times;auc;iauc;model;fold
42;50;0.790844701;0.816552498;deepsurv;3
43;57;0.746728754;0.816552498;deepsurv;3
44;64;0.708551795;0.816552498;deepsurv;3
45;71;0.640242327;0.816552498;deepsurv;3
0;1;0.598890943;0.669122656;deepsurv;4
1;2;0.630032555;0.669122656;deepsurv;4
2;3;0.617449093;0.669122656;deepsurv;4
3;4;0.65390187;0.669122656;deepsurv;4
4;5;0.640175005;0.669122656;deepsurv;4
5;6;0.674752814;0.669122656;deepsurv;4
6;7;0.679957;0.669122656;deepsurv;4
7;8;0.652889921;0.669122656;deepsurv;4
8;9;0.669253005;0.669122656;deepsurv;4
9;10;0.659333511;0.669122656;deepsurv;4
10;11;0.674587676;0.669122656;deepsurv;4
11;12;0.690394311;0.669122656;deepsurv;4
12;13;0.685297551;0.669122656;deepsurv;4
13;14;0.698351302;0.669122656;deepsurv;4
14;15;0.70018857;0.669122656;deepsurv;4
15;16;0.688420854;0.669122656;deepsurv;4
16;17;0.690736744;0.669122656;deepsurv;4
17;18;0.682147643;0.669122656;deepsurv;4
18;19;0.67703039;0.669122656;deepsurv;4
19;20;0.67678289;0.669122656;deepsurv;4
20;21;0.674721367;0.669122656;deepsurv;4
21;22;0.646569449;0.669122656;deepsurv;4
22;23;0.634091372;0.669122656;deepsurv;4
23;24;0.617998841;0.669122656;deepsurv;4
24;25;0.639593672;0.669122656;deepsurv;4
25;26;0.639869669;0.669122656;deepsurv;4
26;27;0.641260293;0.669122656;deepsurv;4
27;28;0.636086652;0.669122656;deepsurv;4
28;29;0.651252456;0.669122656;deepsurv;4
29;30;0.674401635;0.669122656;deepsurv;4
30;31;0.671631958;0.669122656;deepsurv;4
31;32;0.658007225;0.669122656;deepsurv;4
32;33;0.635245629;0.669122656;deepsurv;4
33;34;0.632136413;0.669122656;deepsurv;4
34;35;0.630812667;0.669122656;deepsurv;4
35;36;0.626264844;0.669122656;deepsurv;4
36;37;0.614754978;0.669122656;deepsurv;4
37;38;0.593069467;0.669122656;deepsurv;4
38;39;0.584672533;0.669122656;deepsurv;4
39;40;0.595060675;0.669122656;deepsurv;4
40;41;0.570412585;0.669122656;deepsurv;4
41;43;0.586289414;0.669122656;deepsurv;4
42;50;0.641433262;0.669122656;deepsurv;4
43;57;0.761777772;0.669122656;deepsurv;4
0;1;0.714932127;0.63171348;rsf;0
1;2;0.508476764;0.63171348;rsf;0
2;3;0.696390212;0.63171348;rsf;0
3;4;0.691893625;0.63171348;rsf;0
4;5;0.694464368;0.63171348;rsf;0
5;6;0.684411368;0.63171348;rsf;0
6;7;0.715947395;0.63171348;rsf;0
7;8;0.662691095;0.63171348;rsf;0
8;9;0.656209068;0.63171348;rsf;0
